1	111	1	65
1	114	1	67
1	117	1	69
1	115	1	67
1	126	1	74
1	125	1	73
1	142	1	83
1	147	1	86
1	149	1	87
1	151	1	89
1	155	1	91
1	157	1	92
1	160	1	94
1	160	1	94
1	163	1	96
1	165	1	97
1	167	1	98
1	164	1	96
1	167	1	98
1	170	1	100
1	158	1	93
1	161	1	94
1	157	1	92
1	152	1	89
1	149	1	87
1	143	1	84
1	147	1	86
1	147	1	86
1	140	1	82
1	143	1	84
1	136	1	80
1	134	1	79
1	122	1	72
1	114	1	67
1	114	1	67
1	123	1	72
1	111	1	65
1	111	1	65
1	98	1	57
1	104	1	61
1	81	64	55
