	Measurement	Number	Measurement	type	
	30	DC	IV		
					
	Measurement	ID	SeriesID		
	740075.657240	0			
					
	MeasureMode	Bias1	Bias2		
	2	-4	4		
					
	Step	Positive	compliance	Negative	compliance
	0.02	0.1	0.1		
					
	RealMeasuredPoints				
	804				
					
Bias	Current	Resistance			
-1.9000e+00	-3.2453e-06	5.8546e+05			
-1.8800e+00	-3.2359e-06	5.8098e+05			
-1.8600e+00	-3.2262e-06	5.7653e+05			
-1.8400e+00	-3.2164e-06	5.7206e+05			
-1.8200e+00	-3.2066e-06	5.6759e+05			
-1.8000e+00	-3.1968e-06	5.6305e+05			
-1.7800e+00	-3.1869e-06	5.5853e+05			
-1.7600e+00	-3.1769e-06	5.5400e+05			
-1.7400e+00	-3.1668e-06	5.4945e+05			
-1.7200e+00	-3.1564e-06	5.4492e+05			
-1.7000e+00	-3.1456e-06	5.4044e+05			
-1.6800e+00	-3.1344e-06	5.3599e+05			
-1.6600e+00	-3.1233e-06	5.3149e+05			
-1.6400e+00	-3.1123e-06	5.2694e+05			
-1.6200e+00	-3.1006e-06	5.2247e+05			
-1.6000e+00	-3.0891e-06	5.1795e+05			
-1.5800e+00	-3.0771e-06	5.1347e+05			
-1.5600e+00	-3.0650e-06	5.0897e+05			
-1.5400e+00	-3.0525e-06	5.0451e+05			
-1.5200e+00	-3.0396e-06	5.0006e+05			
-1.5000e+00	-3.0265e-06	4.9562e+05			
-1.4800e+00	-3.0133e-06	4.9116e+05			
-1.4600e+00	-2.9997e-06	4.8672e+05			
-1.4400e+00	-2.9858e-06	4.8228e+05			
-1.4200e+00	-2.9715e-06	4.7787e+05			
-1.4000e+00	-2.9572e-06	4.7342e+05			
-1.3800e+00	-2.9421e-06	4.6905e+05			
-1.3600e+00	-2.9268e-06	4.6467e+05			
-1.3400e+00	-2.9113e-06	4.6027e+05			
-1.3200e+00	-2.8953e-06	4.5592e+05			
-1.3000e+00	-2.8793e-06	4.5150e+05			
-1.2800e+00	-2.8625e-06	4.4716e+05			
-1.2600e+00	-2.8454e-06	4.4282e+05			
-1.2400e+00	-2.8277e-06	4.3852e+05			
-1.2200e+00	-2.8097e-06	4.3421e+05			
-1.2000e+00	-2.7916e-06	4.2986e+05			
-1.1800e+00	-2.7729e-06	4.2555e+05			
-1.1600e+00	-2.7545e-06	4.2112e+05			
-1.1400e+00	-2.7367e-06	4.1656e+05			
-1.1200e+00	-2.7192e-06	4.1189e+05			
-1.1000e+00	-2.6999e-06	4.0742e+05			
-1.0800e+00	-2.6789e-06	4.0314e+05			
-1.0600e+00	-2.6563e-06	3.9905e+05			
-1.0400e+00	-2.6332e-06	3.9495e+05			
-1.0200e+00	-2.6096e-06	3.9086e+05			
-1.0000e+00	-2.5853e-06	3.8680e+05			
-9.8000e-01	-2.5603e-06	3.8276e+05			
-9.6000e-01	-2.5347e-06	3.7874e+05			
-9.4000e-01	-2.5079e-06	3.7481e+05			
-9.2000e-01	-2.4807e-06	3.7086e+05			
-9.0000e-01	-2.4526e-06	3.6696e+05			
-8.8000e-01	-2.4238e-06	3.6306e+05			
-8.6000e-01	-2.3943e-06	3.5918e+05			
-8.4000e-01	-2.3637e-06	3.5537e+05			
-8.2000e-01	-2.3320e-06	3.5163e+05			
-8.0000e-01	-2.2982e-06	3.4810e+05			
-7.8000e-01	-2.2628e-06	3.4471e+05			
-7.6000e-01	-2.2258e-06	3.4144e+05			
-7.4000e-01	-2.1879e-06	3.3822e+05			
-7.2000e-01	-2.1483e-06	3.3515e+05			
-7.0000e-01	-2.1070e-06	3.3222e+05			
-6.8000e-01	-2.0650e-06	3.2930e+05			
-6.6000e-01	-2.0215e-06	3.2648e+05			
-6.4000e-01	-1.9764e-06	3.2382e+05			
-6.2000e-01	-1.9292e-06	3.2138e+05			
-6.0000e-01	-1.8804e-06	3.1908e+05			
-5.8000e-01	-1.8299e-06	3.1696e+05			
-5.6000e-01	-1.7774e-06	3.1507e+05			
-5.4000e-01	-1.7232e-06	3.1337e+05			
-5.2000e-01	-1.6664e-06	3.1204e+05			
-5.0000e-01	-1.6081e-06	3.1092e+05			
-4.8000e-01	-1.5480e-06	3.1008e+05			
-4.6000e-01	-1.4855e-06	3.0967e+05			
-4.4000e-01	-1.4202e-06	3.0982e+05			
-4.2000e-01	-1.3534e-06	3.1032e+05			
-4.0000e-01	-1.2847e-06	3.1136e+05			
-3.8000e-01	-1.2141e-06	3.1298e+05			
-3.6000e-01	-1.1419e-06	3.1526e+05			
-3.4000e-01	-1.0675e-06	3.1850e+05			
-3.2000e-01	-9.9262e-07	3.2238e+05			
-3.0000e-01	-9.1685e-07	3.2721e+05			
-2.8000e-01	-8.4038e-07	3.3318e+05			
-2.6000e-01	-7.6272e-07	3.4089e+05			
-2.4000e-01	-6.8600e-07	3.4986e+05			
-2.2000e-01	-6.1015e-07	3.6057e+05			
-2.0000e-01	-5.3603e-07	3.7311e+05			
-1.8000e-01	-4.6464e-07	3.8739e+05			
-1.6000e-01	-3.9653e-07	4.0350e+05			
-1.4000e-01	-3.3381e-07	4.1940e+05			
-1.2000e-01	-2.7604e-07	4.3472e+05			
-1.0000e-01	-2.2311e-07	4.4821e+05			
-8.0000e-02	-1.7391e-07	4.6001e+05			
-6.0000e-02	-1.2838e-07	4.6738e+05			
-4.0000e-02	-8.5085e-08	4.7012e+05			
-2.0000e-02	-4.2927e-08	4.6591e+05			
0.0000e+00	-1.2910e-09	-0.0000e+00			
0.0000e+00	-1.2865e-09	-0.0000e+00			
2.0000e-02	4.0940e-08	4.8852e+05			
4.0000e-02	8.3583e-08	4.7857e+05			
6.0000e-02	1.2786e-07	4.6926e+05			
8.0000e-02	1.7494e-07	4.5729e+05			
1.0000e-01	2.2585e-07	4.4276e+05			
1.2000e-01	2.8138e-07	4.2646e+05			
1.4000e-01	3.4240e-07	4.0888e+05			
1.6000e-01	4.0729e-07	3.9284e+05			
1.8000e-01	4.7627e-07	3.7794e+05			
2.0000e-01	5.4828e-07	3.6478e+05			
2.2000e-01	6.2250e-07	3.5341e+05			
2.4000e-01	6.9815e-07	3.4376e+05			
2.6000e-01	7.7514e-07	3.3542e+05			
2.8000e-01	8.5171e-07	3.2875e+05			
3.0000e-01	9.2787e-07	3.2332e+05			
3.2000e-01	1.0033e-06	3.1894e+05			
3.4000e-01	1.0775e-06	3.1555e+05			
3.6000e-01	1.1500e-06	3.1304e+05			
3.8000e-01	1.2206e-06	3.1132e+05			
4.0000e-01	1.2893e-06	3.1024e+05			
4.2000e-01	1.3563e-06	3.0967e+05			
4.4000e-01	1.4215e-06	3.0954e+05			
4.6000e-01	1.4848e-06	3.0981e+05			
4.8000e-01	1.5459e-06	3.1050e+05			
5.0000e-01	1.6057e-06	3.1139e+05			
5.2000e-01	1.6630e-06	3.1269e+05			
5.4000e-01	1.7180e-06	3.1433e+05			
5.6000e-01	1.7712e-06	3.1617e+05			
5.8000e-01	1.8225e-06	3.1824e+05			
6.0000e-01	1.8724e-06	3.2045e+05			
6.2000e-01	1.9209e-06	3.2277e+05			
6.4000e-01	1.9679e-06	3.2522e+05			
6.6000e-01	2.0130e-06	3.2787e+05			
6.8000e-01	2.0565e-06	3.3065e+05			
7.0000e-01	2.0982e-06	3.3361e+05			
7.2000e-01	2.1387e-06	3.3665e+05			
7.4000e-01	2.1781e-06	3.3975e+05			
7.6000e-01	2.2155e-06	3.4303e+05			
7.8000e-01	2.2519e-06	3.4638e+05			
8.0000e-01	2.2871e-06	3.4979e+05			
8.2000e-01	2.3207e-06	3.5334e+05			
8.4000e-01	2.3538e-06	3.5688e+05			
8.6000e-01	2.3851e-06	3.6057e+05			
8.8000e-01	2.4152e-06	3.6437e+05			
9.0000e-01	2.4442e-06	3.6822e+05			
9.2000e-01	2.4727e-06	3.7206e+05			
9.4000e-01	2.5002e-06	3.7597e+05			
9.6000e-01	2.5272e-06	3.7987e+05			
9.8000e-01	2.5534e-06	3.8380e+05			
1.0000e+00	2.5789e-06	3.8776e+05			
1.0200e+00	2.6039e-06	3.9171e+05			
1.0400e+00	2.6281e-06	3.9572e+05			
1.0600e+00	2.6520e-06	3.9970e+05			
1.0800e+00	2.6751e-06	4.0372e+05			
1.1000e+00	2.6982e-06	4.0769e+05			
1.1200e+00	2.7204e-06	4.1170e+05			
1.1400e+00	2.7421e-06	4.1574e+05			
1.1600e+00	2.7632e-06	4.1980e+05			
1.1800e+00	2.7837e-06	4.2390e+05			
1.2000e+00	2.8042e-06	4.2792e+05			
1.2200e+00	2.8238e-06	4.3205e+05			
1.2400e+00	2.8427e-06	4.3620e+05			
1.2600e+00	2.8613e-06	4.4035e+05			
1.2800e+00	2.8795e-06	4.4453e+05			
1.3000e+00	2.8969e-06	4.4875e+05			
1.3200e+00	2.9142e-06	4.5296e+05			
1.3400e+00	2.9308e-06	4.5722e+05			
1.3600e+00	2.9471e-06	4.6147e+05			
1.3800e+00	2.9632e-06	4.6572e+05			
1.4000e+00	2.9787e-06	4.7000e+05			
1.4200e+00	2.9937e-06	4.7433e+05			
1.4400e+00	3.0086e-06	4.7863e+05			
1.4600e+00	3.0233e-06	4.8292e+05			
1.4800e+00	3.0376e-06	4.8723e+05			
1.5000e+00	3.0515e-06	4.9157e+05			
1.5200e+00	3.0652e-06	4.9589e+05			
1.5400e+00	3.0789e-06	5.0018e+05			
1.5600e+00	3.0924e-06	5.0447e+05			
1.5800e+00	3.1054e-06	5.0878e+05			
1.6000e+00	3.1184e-06	5.1309e+05			
1.6200e+00	3.1309e-06	5.1741e+05			
1.6400e+00	3.1435e-06	5.2171e+05			
1.6600e+00	3.1559e-06	5.2600e+05			
1.6800e+00	3.1678e-06	5.3034e+05			
1.7000e+00	3.1796e-06	5.3465e+05			
1.7200e+00	3.1914e-06	5.3895e+05			
1.7400e+00	3.2029e-06	5.4326e+05			
1.7600e+00	3.2140e-06	5.4760e+05			
1.7800e+00	3.2252e-06	5.5190e+05			
1.8000e+00	3.2364e-06	5.5617e+05			
1.8200e+00	3.2475e-06	5.6043e+05			
1.8400e+00	3.2584e-06	5.6470e+05			
1.8600e+00	3.2695e-06	5.6889e+05			
1.8800e+00	3.2803e-06	5.7312e+05			
1.9000e+00	3.2913e-06	5.7727e+05			
1.9200e+00	3.3021e-06	5.8146e+05			
1.9400e+00	3.3123e-06	5.8569e+05			
1.9600e+00	3.3227e-06	5.8988e+05			
1.9800e+00	3.3330e-06	5.9406e+05			
2.0000e+00	3.3431e-06	5.9825e+05			
2.0200e+00	3.3530e-06	6.0245e+05			
2.0400e+00	3.3623e-06	6.0672e+05			
2.0600e+00	3.3716e-06	6.1098e+05			
2.0800e+00	3.3809e-06	6.1522e+05			
2.1000e+00	3.3900e-06	6.1948e+05			
2.1200e+00	3.3988e-06	6.2374e+05			
